ID No.,Last Name,First Name,Gender,Year Level,College,Program
2025-4568,Tolentino,Marc Adrian,Male,1st,CAS - College of Arts and Sciences,BAP - Bachelor of Arts in Political Science
2024-5679,Diaz,Samantha Grace,Female,2nd,COE - College of Engineering,BSCivE - Bachelor of Science in Civil Engineering
2023-6780,Perez,Joseph Michael,Male,3rd,CBA - College of Business Administration,BSAcc - Bachelor of Science in Accountancy
2022-7891,David,Joanna Rose,Female,2nd,CHS - College of Health Sciences,BSPharma - Bachelor of Science in Pharmacy
2021-8902,Chavez,Nathan Elijah,Male,4th,CCS - College of Computer Studies,BSCS - Bachelor of Science in Computer Science
2020-9013,Lorenzo,Patricia Mae,Female,3rd,CAS - College of Arts and Sciences,BSBIO - Bachelor of Science in Biology
2019-0124,Manalo,Darren Francis,Male,4th,COE - College of Engineering,BSEE - Bachelor of Science in Electrical Engineering
2025-1235,Fabian,Kimberly Anne,Female,1st,CBA - College of Business Administration,BSM - Bachelor of Science in Marketing
2024-2346,Espinoza,Caleb Thomas,Male,2nd,CHS - College of Health Sciences,BSMedTech - Bachelor of Science in Medical Technology
2023-3457,Alvarado,Denise Nicole,Female,3rd,CAS - College of Arts and Sciences,BSA - Bachelor of Science in Architecture
2022-4568,Mendoza,Patrick Adrian,Male,2nd,COE - College of Engineering,BSECE - Bachelor of Science in Electronics and Communications Engineering
2021-5679,Francisco,Alyssa Beatrice,Female,4th,CBA - College of Business Administration,BSBA - Bachelor of Science in Business Administration
